,yuv,framenos,content,ref
362,EplJuvVsRma-night1_res1080_mu5400_sigma300_rate5567_aqOn.yuv,198,EplJuvVsRma-night1,EplJuvVsRma-night1_res2160_mu100000_sigma0_rate100000_aqOn.yuv
363,EplLeyVsWre-day_res1080_mu5400_sigma300_rate5841_aqOn.yuv,198,EplLeyVsWre-day,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv
364,CHEM_res1080_mu5400_sigma300_rate4943_aqOn.yuv,190,CHEM,CHEM_res2160_mu100000_sigma0_rate100000_aqOn.yuv
365,BTFB-01h12m21s_res720_mu1500_sigma100_rate1624_aqOn.yuv,190,BTFB-01h12m21s,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
366,EXPA-510-1_res1080_mu1200_sigma100_rate1196_aqOn.yuv,190,EXPA-510-1,EXPA-510-1_res2160_mu100000_sigma0_rate100000_aqOn.yuv
367,EplLeyVsWre-day_res2160_mu11200_sigma300_rate11327_aqOn.yuv,198,EplLeyVsWre-day,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv
368,HERO-00h01m57s_res2160_mu3000_sigma300_rate3314_aqOff.yuv,178,HERO-00h01m57s,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
369,CHMA-302_res600_mu800_sigma200_rate1053_aqOn.yuv,198,CHMA-302,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv
370,MOLV-102_res1080_mu500_sigma100_rate385_aqOn.yuv,190,MOLV-102,MOLV-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
371,HERO-00h01m57s_res1080_mu5400_sigma300_rate5435_aqOn.yuv,178,HERO-00h01m57s,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
372,EXPA-504_res720_mu1500_sigma300_rate1819_aqOn.yuv,189,EXPA-504,EXPA-504_res2160_mu100000_sigma0_rate100000_aqOn.yuv
